name,x,y,z
P1_01,400,100,5
P1_02,400,100,10
P1_03,400,100,25
P1_04,400,100,40
P1_05,400,100,45
P2_01,200,200,5
P2_02,200,200,10
P2_03,200,200,25
P2_04,200,200,40
P2_05,200,200,45
