name,table,rotor_rpm,x,y,z,nx,ny,nz,rotor_radius,hub_radius,rotor_thick
upstream,UW_Lab-2,373,0.9,0.5,0.4,1,0,0,0.225,0,0.1
downstream,UW_Lab-2,373,3.15,0.5,0.4,1,0,0,0.225,0,0.1
