name,x,y,z
up1,0.45,0.5,0.01
up2,0.45,0.5,0.2
up3,0.45,0.5,0.4
up4,0.45,0.5,0.6
up5,0.45,0.5,0.8
down1,1.35,0.5,0.01
down2,1.35,0.5,0.2
down3,1.35,0.5,0.4
down4,1.35,0.5,0.6
down5,1.35,0.5,0.8
