"Iteration","Ux_up1: Ux_up1 (m/s)","Ux_up2: Ux_up2 (m/s)","Ux_up3: Ux_up3 (m/s)","Ux_up4: Ux_up4 (m/s)","Ux_up5: Ux_up5 (m/s)","Ux_down1: Ux_down1 (m/s)","Ux_down2: Ux_down2 (m/s)","Ux_down3: Ux_down3 (m/s)","Ux_down4: Ux_down4 (m/s)","Ux_down5: Ux_down5 (m/s)"
121.0,2.0000028274645194,1.999999519371594,,,,2.0000201821394072,2.000009591197023,2.000005660994515,2.000004822702908,2.0000045070456682
122.0,2.0000025938752173,1.99999942778462,,,,2.0000199248302004,2.0000093458229316,2.000005533547812,2.0000047315092386,2.0000044239681953
123.0,2.000002361919173,1.9999993327549244,,,,2.0000196722434787,2.0000091055544718,2.0000054105660867,2.000004641438069,2.000004343166513
124.0,2.0000021265320926,1.9999992229149932,,,,2.000019419184482,2.0000088615545817,2.0000052804579402,2.0000045410959024,2.0000042532890254
125.0,2.000001904336316,1.999999137074632,,,,2.0000191703791304,2.000008625550973,2.0000051557768517,2.0000044515128206,2.0000041714197296
126.0,2.000001683060446,1.9999990466684632,,,,2.000018925277937,2.0000083938216973,2.0000050355035257,2.0000043634364744,2.0000040923159603
127.0,2.0000014612934045,1.9999989460582106,,,,2.0000186784404,2.000008158023735,2.000004907716431,2.0000042646713405,2.0000040039076397
128.0,2.0000012510195417,1.999998865259216,,,,2.0000184343027616,2.0000079302394056,2.0000047859298165,2.0000041771023302,2.0000039237464287
129.0,2.0000010367623853,1.9999987679729427,,,,2.000018191742283,2.0000077025413026,2.000004664105812,2.0000040844818736,2.000003840414808
130.0,2.0000008337037065,1.9999986897627546,,,,2.0000179517192924,2.000007482115326,2.0000045458161866,2.0000039981033697,2.000003762153701
131.0,2.0000006267010306,1.9999985946997598,,,,2.0000177112054898,2.0000072600756207,2.00000442505011,2.000003905002917,2.000003678633618
132.0,2.0000004308347084,1.9999985195842913,,,,2.000017472344122,2.0000070451732275,2.00000430783884,2.0000038199001824,2.0000036014054303
133.0,2.0000002298593893,1.9999984273094102,,,,2.00001723378603,2.0000068284387837,2.000004188789607,2.0000037283940557,2.0000035192442915
134.0,2.0000000399747986,1.9999983547479125,,,,2.0000169972583115,2.0000066191523844,2.000004073838254,2.0000036447193112,2.0000034429902627
135.0,1.999999837330082,1.9999982649714254,,,,2.0000167518353313,2.0000063954800176,2.0000039521342954,2.0000035509962277,2.000003359093269
