"Iteration","Uz_up1: Uz_up1 (m/s)","Uz_up2: Uz_up2 (m/s)","Uz_up3: Uz_up3 (m/s)","Uz_up4: Uz_up4 (m/s)","Uz_up5: Uz_up5 (m/s)","Uz_down1: Uz_down1 (m/s)","Uz_down2: Uz_down2 (m/s)","Uz_down3: Uz_down3 (m/s)","Uz_down4: Uz_down4 (m/s)","Uz_down5: Uz_down5 (m/s)"
290.0,1.7051068044724677E-5,8.810558786978001E-6,,,,5.953927668155916E-5,4.5610266754706735E-5,1.983434663335706E-5,8.476756025619738E-6,2.8309801092351197E-6
291.0,1.686783704461442E-5,8.72519989216718E-6,,,,5.919284303337934E-5,4.5345814091468995E-5,1.9727891129743103E-5,8.433122519906415E-6,2.8167174110930714E-6
292.0,1.66865722432788E-5,8.640777108181912E-6,,,,5.8848293361903E-5,4.508268377818866E-5,1.9621799968921655E-5,8.389671857973648E-6,2.8024809260965917E-6
293.0,1.6507079673169825E-5,8.557202150817063E-6,,,,5.850558646542785E-5,4.4820889780569294E-5,1.9516304508833043E-5,8.346420823057717E-6,2.7882961845769177E-6
294.0,1.6329213386661713E-5,8.473813305280832E-6,,,,5.8164858525774155E-5,4.456057229305506E-5,1.941153482747176E-5,8.30342516210232E-6,2.774224376755998E-6
295.0,1.6153294917935114E-5,8.391621582793381E-6,,,,5.782597201495567E-5,4.430144241049438E-5,1.9306826087290778E-5,8.260522980976705E-6,2.7601276184756235E-6
296.0,1.5979309753967888E-5,8.310254564854151E-6,,,,5.748904056718387E-5,4.4043810211187486E-5,1.9203046391773976E-5,8.217867240950991E-6,2.746130587554494E-6
297.0,1.5807072146601467E-5,8.229730116213082E-6,,,,5.7153828319611516E-5,4.37874653242646E-5,1.9099519592949312E-5,8.175376667827124E-6,2.732193655444387E-6
298.0,1.5636462274580375E-5,8.149749467603825E-6,,,,5.682052399706671E-5,4.353253968361994E-5,1.8996733254194693E-5,8.133130106382143E-6,2.718351101045361E-6
299.0,1.5467587614675142E-5,8.0705227089779E-6,,,,5.648910988615546E-5,4.327893233995237E-5,1.889433990274309E-5,8.09111252284763E-6,2.704596797689016E-6
300.0,1.5300317676951946E-5,7.991888565374842E-6,,,,5.615958258301694E-5,4.302669302910991E-5,1.879245127619911E-5,8.049267519745978E-6,2.6909129041639857E-6
301.0,1.513481031222349E-5,7.91426178803978E-6,,,,5.583184229709763E-5,4.2775716292080414E-5,1.869088276197831E-5,8.007555837585307E-6,2.677263383157413E-6
302.0,1.4970915477769734E-5,7.837269909788684E-6,,,,5.550585713333847E-5,4.252600560962375E-5,1.8589866152808393E-5,7.966023297094288E-6,2.6637021731183353E-6
303.0,1.4808589208196398E-5,7.760975566323676E-6,,,,5.518175102508035E-5,4.227761999883352E-5,1.848931722909201E-5,7.924711269251329E-6,2.6502220730166844E-6
304.0,1.4647917282355054E-5,7.685488507011466E-6,,,,5.4859461041111326E-5,4.203059337466664E-5,1.8389215544345382E-5,7.883563184354845E-6,2.636793487795134E-6
305.0,1.4488919888136342E-5,7.610801096020687E-6,,,,5.4539003471785726E-5,4.178493483449652E-5,1.8289686041070033E-5,7.842614459225689E-6,2.6234356965001688E-6
306.0,1.4331369201512118E-5,7.536563756927974E-6,,,,5.422026465325606E-5,4.1540450715793876E-5,1.8190518278801485E-5,7.801802318327949E-6,2.6101464240899664E-6
307.0,1.4175438940812116E-5,7.463169268009453E-6,,,,5.390339208374601E-5,4.129733792868153E-5,1.8091864362536864E-5,7.761241672852682E-6,2.5968749964623826E-6
308.0,1.4021095955759441E-5,7.3905698802195205E-6,,,,5.358842144098975E-5,4.105569169349889E-5,1.7993943096493433E-5,7.720929780714477E-6,2.5836901534083475E-6
309.0,1.3868264675767526E-5,7.318443989084981E-6,,,,5.3275187312888474E-5,4.0815194544261636E-5,1.7896283099682466E-5,7.680714745982395E-6,2.5705998881474888E-6
310.0,1.3717011963564644E-5,7.247045240786038E-6,,,,5.2963722809142625E-5,4.0576003967509385E-5,1.779916606322283E-5,7.64073794306353E-6,2.5575344472246473E-6
311.0,1.3567293147424122E-5,7.176421424649977E-6,,,,5.2653985305021206E-5,4.0337949323154365E-5,1.7702474955518946E-5,7.600864125852816E-6,2.544542280638595E-6
312.0,1.3419098934046436E-5,7.1063974559923855E-6,,,,5.234604823970585E-5,4.0101394508725514E-5,1.760650732857687E-5,7.56130955789723E-6,2.531613026266311E-6
313.0,1.327230011214871E-5,7.03671216666608E-6,,,,5.203967591661805E-5,3.986580736240879E-5,1.751053952431452E-5,7.52176813030807E-6,2.5186983676336694E-6
314.0,1.3127073763230843E-5,6.967993853962786E-6,,,,5.1735100846493386E-5,3.963158680997124E-5,1.7415405833032648E-5,7.4824894632147935E-6,2.5058225209276215E-6
315.0,1.2983291536168817E-5,6.8997429967392775E-6,,,,5.143223421158508E-5,3.939856529941557E-5,1.732078493483776E-5,7.443376454534419E-6,2.493036469879043E-6
316.0,1.2840997693786059E-5,6.832180571251419E-6,,,,5.1130935134286473E-5,3.916652919343801E-5,1.7225955454820603E-5,7.404251692125736E-6,2.4801941630896827E-6
317.0,1.2700255068565243E-5,6.765340961563189E-6,,,,5.083145509621046E-5,3.893606551846651E-5,1.7132283492692793E-5,7.365514374686924E-6,2.4674344675755107E-6
318.0,1.256094603721879E-5,6.699067377384373E-6,,,,5.053377033669898E-5,3.8707067719754616E-5,1.7039179234245657E-5,7.32708176576228E-6,2.454788289087485E-6
319.0,1.2423278154034168E-5,6.6336717669997945E-6,,,,5.0237663225662595E-5,3.847904381866207E-5,1.6946148028648347E-5,7.28864025556566E-6,2.4422134578741648E-6
320.0,1.2286853753329654E-5,6.568540612779856E-6,,,,4.994310711652025E-5,3.825218484271482E-5,1.685362963283301E-5,7.250380957421987E-6,2.429661896892315E-6
321.0,1.2151864663310538E-5,6.5040937606161524E-6,,,,4.965020482284995E-5,3.802653951343263E-5,1.6761560433239286E-5,7.2123058979316E-6,2.4171420957381164E-6
322.0,1.2018354860289552E-5,6.4402711388201135E-6,,,,4.9358968867473653E-5,3.780215390918905E-5,1.6669988914061367E-5,7.174406626671622E-6,2.404683962359459E-6
323.0,1.1886196811480876E-5,6.3769939075142E-6,,,,4.9069308344753106E-5,3.7578931388093154E-5,1.657875475634507E-5,7.136660495609714E-6,2.3922649646200716E-6
324.0,1.1755473014233368E-5,6.314379038531465E-6,,,,4.8781286874520605E-5,3.735694647723689E-5,1.6488023358861397E-5,7.099089544686382E-6,2.379901469609503E-6
325.0,1.1626060588418377E-5,6.252269868131953E-6,,,,4.849481450981646E-5,3.713600174968665E-5,1.6397627029983602E-5,7.061626903802809E-6,2.3675912594475643E-6
326.0,1.1497994959061607E-5,6.190742485998977E-6,,,,4.821007872672073E-5,3.6916448121055735E-5,1.630792786758339E-5,7.024480736785572E-6,2.3553423587835544E-6
327.0,1.137133114492798E-5,6.12997787797225E-6,,,,4.7926844471246554E-5,3.669793979120253E-5,1.6218348896867387E-5,6.9873619424162045E-6,2.343129986338542E-6
328.0,1.1246042118693302E-5,6.069706174544305E-6,,,,4.764520306061774E-5,3.648063734951532E-5,1.6129491822743814E-5,6.95049121451184E-6,2.3309914513152345E-6
329.0,1.1121960427588785E-5,6.009983405277969E-6,,,,4.736505139405018E-5,3.626445077314702E-5,1.604088240949003E-5,6.913745567093451E-6,2.3188958183108965E-6
330.0,1.0999183199806588E-5,5.950887519134376E-6,,,,4.708652837020512E-5,3.604953226924564E-5,1.595283112425334E-5,6.877203381469162E-6,2.3068669509629804E-6
331.0,1.087771086620206E-5,5.8923063933473675E-6,,,,4.680951676251708E-5,3.5835760894693076E-5,1.5865194220785374E-5,6.840822250025243E-6,2.2949131594571486E-6
332.0,1.0757479610733404E-5,5.834226728842243E-6,,,,4.653407902735492E-5,3.5623135371415054E-5,1.5778041182079536E-5,6.804616101953849E-6,2.2830251652316857E-6
333.0,1.063850949030015E-5,5.7766376389550545E-6,,,,4.6260155752999644E-5,3.541166412400947E-5,1.569129490365034E-5,6.768601638720657E-6,2.271195602438174E-6
334.0,1.0520985075647295E-5,5.719781372032853E-6,,,,4.598786132550731E-5,3.520143713626081E-5,1.5604918818005202E-5,6.732695077740793E-6,2.25940750955483E-6
335.0,1.0404578179134812E-5,5.663293530011556E-6,,,,4.57169616859183E-5,3.4992234837430656E-5,1.551898350685939E-5,6.696967987437174E-6,2.2476761009257153E-6
336.0,1.0289327837418687E-5,5.607288009668119E-6,,,,4.54475674171449E-5,3.478420026507533E-5,1.5433514722634042E-5,6.6614292346840065E-6,2.236008493167453E-6
337.0,1.0175419894279001E-5,5.551948467412489E-6,,,,4.517972707800738E-5,3.4577395552955236E-5,1.5348609121095593E-5,6.626095691292549E-6,2.2244043384367104E-6
338.0,1.006250282990644E-5,5.496990635818641E-6,,,,4.4913215964098637E-5,3.4371591660679936E-5,1.5263748286051587E-5,6.5908031954756746E-6,2.21281396925919E-6
339.0,9.865439457875161E-6,6.768733781277172E-6,,,,4.4567128482600165E-5,3.4337078771841704E-5,1.4907138989695314E-5,6.118609156554634E-6,1.774125572725685E-6
340.0,1.087873527376508E-5,6.883189623941533E-5,,,,4.5894851491126094E-5,3.8627988999565825E-5,1.9120736935129945E-6,-1.2267870385576272E-5,-1.5385455946214353E-5
341.0,3.0084649549397707E-5,1.737550120461361E-4,,,,4.4966556074594347E-5,3.0932002202719474E-5,-5.9126405654665335E-6,-1.4091926641387338E-5,-1.4381809731432364E-5
342.0,5.9731345141616284E-5,3.087490633748814E-4,,,,4.823976505938826E-5,3.135074952552969E-5,1.8589276975048016E-7,-8.020029135360919E-6,-6.151976599568708E-6
343.0,1.3042383781859495E-4,5.223631157453956E-4,,,,4.9841651249929255E-5,3.0258216121428988E-5,-3.9117640468576403E-7,8.929654429959646E-7,4.216216529653306E-6
344.0,2.2380103018673428E-4,7.814712257280136E-4,,,,5.0696298263026626E-5,3.356963192977428E-5,5.4580612554277254E-6,1.2050290957836266E-5,1.1885726374858718E-5
345.0,3.426034632122274E-4,0.0010665210096000109,,,,5.2133245725933535E-5,4.0099037199490955E-5,1.8545317148359843E-5,2.522734110963922E-5,1.8779902694350822E-5
346.0,4.8462386506108196E-4,0.001335745543625672,,,,4.927089028831535E-5,4.1175791578830544E-5,3.179580811745691E-5,4.011334304358247E-5,2.668482362050065E-5
347.0,6.608060839539909E-4,0.001579527883795805,,,,4.7091369808212075E-5,4.8052215677857145E-5,5.379604500560708E-5,5.685314736192055E-5,3.1714305988136496E-5
348.0,8.663226217430598E-4,0.001777627027429827,,,,4.4939781690287557E-5,5.915264472270749E-5,8.650044690024456E-5,8.081945406562306E-5,3.895619088454376E-5
349.0,0.0010877578149999882,0.0019192029813409573,,,,4.2173428979684306E-5,7.411520124119736E-5,1.2838156236377995E-4,1.1012166283695039E-4,4.779516240222436E-5
350.0,0.0013102921583444107,0.0020113634766099776,,,,3.687006440200776E-5,9.060718541005346E-5,1.77389088145551E-4,1.4299146468872682E-4,5.7949343185295635E-5
351.0,0.0015261730902905747,0.002067030938606867,,,,2.9928117814624547E-5,1.1319762240706796E-4,2.367128547671216E-4,1.7935384077470478E-4,6.974815241794525E-5
352.0,0.0017166771855602369,0.002090570943668815,,,,2.0771211851359333E-5,1.4186068869861864E-4,2.978463252231553E-4,2.1411078337091823E-4,7.989317020509554E-5
353.0,0.001879217334252256,0.0021122123379987787,,,,8.688196263848203E-6,1.778473796242124E-4,3.6082140138256384E-4,2.4600016502424364E-4,8.83260294744447E-5
354.0,0.0020157768070960804,0.0021369863433946482,,,,-3.843356945060046E-6,2.2480458289394874E-4,4.267845708953531E-4,2.752822722969384E-4,9.626650955074978E-5
355.0,0.002121428074544929,0.0021686123802097247,,,,-1.5573925496467713E-5,2.808492273971778E-4,4.894652567467675E-4,2.977996340657245E-4,1.0088942892383265E-4
356.0,0.0022017116004906696,0.002216321726098666,,,,-2.7875617389823103E-5,3.429817597088436E-4,5.469762679691924E-4,3.133050358814153E-4,1.0324260158952541E-4
357.0,0.0022702853463267367,0.0022801732184953346,,,,-3.6190021401584875E-5,4.127343775853166E-4,6.011637882571407E-4,3.2431272532083746E-4,1.0470845046921178E-4
358.0,0.0023452454507389337,0.0023627046749714374,,,,-3.926330441312247E-5,4.8713286211280544E-4,6.489832841694006E-4,3.3300210600576785E-4,1.0680971518833263E-4
359.0,0.0024379599881461282,0.0024650306662581545,,,,-3.484470760819426E-5,5.64203989255764E-4,6.898704266703579E-4,3.407898611000553E-4,1.0952401017196253E-4
360.0,0.0025625497174902095,0.0025802714336585755,,,,-2.3915363819167762E-5,6.423555540853351E-4,7.274301792045172E-4,3.5122138307788883E-4,1.1444815299504929E-4
361.0,0.0027124239824735416,0.002698384041541648,,,,-4.431265155618242E-6,7.17926553669219E-4,7.605832462909796E-4,3.6234600767926856E-4,1.1969264799093713E-4
362.0,0.002888455067622867,0.0028210156540604808,,,,2.2618769606699904E-5,7.891054747204346E-4,7.898560042090609E-4,3.7443799469699245E-4,1.2504675883104024E-4
363.0,0.0030879124884500243,0.002946823356078667,,,,5.5339808890047235E-5,8.527840298070213E-4,8.145084704256128E-4,3.876959292550457E-4,1.3112600698083907E-4
364.0,0.0033116077434131655,0.0030954930714472365,,,,8.874087039295581E-5,9.051741668986686E-4,8.260764385123528E-4,3.9329156978379825E-4,1.3131184784482766E-4
365.0,0.0035264305671217798,0.0032164862513864518,,,,1.2767217120469268E-4,9.53695612507354E-4,8.511239305342051E-4,4.1234971944646183E-4,1.4179413007265075E-4
366.0,0.0037226131161271275,0.003320715674252445,,,,1.7376895371004E-4,0.001000214631514537,8.740953035716346E-4,4.310113088047404E-4,1.509624397601083E-4
367.0,0.00389385070589378,0.0034096623507353647,,,,2.2349211165402402E-4,0.0010440042743938376,8.971893249514391E-4,4.4866555060772933E-4,1.5820197061879146E-4
368.0,0.004039224722840918,0.003484161061266696,,,,2.7441352474240354E-4,0.0010840492567817592,9.200002043813697E-4,4.6463163167018086E-4,1.6358746027369817E-4
369.0,0.004158180237670675,0.0035454069348177146,,,,3.2431737973615996E-4,0.0011196226852532621,9.44104687768649E-4,4.797068679639906E-4,1.6796370727273122E-4
370.0,0.00426229189269086,0.0036116988774648915,,,,3.7089125477301435E-4,0.0011497434485302801,9.64513667737921E-4,4.908188093026849E-4,1.7000928789021646E-4
371.0,0.004332598487365363,0.0036478446501245114,,,,4.166061235376499E-4,0.001185016142178729,9.958800321624634E-4,5.074320350034343E-4,1.7565689624244452E-4
372.0,0.004378656551304691,0.0036746419264579674,,,,4.659461007891993E-4,0.0012272811935405028,0.0010320628007651012,5.250945360845135E-4,1.8137218355441327E-4
373.0,0.004418449708520547,0.0037105017089105966,,,,5.151699586661653E-4,0.0012742550517361602,0.0010677532681094603,5.397840537612668E-4,1.841532901179267E-4
374.0,0.004437886933407834,0.003726761892555719,,,,5.664148835002689E-4,0.0013318213866808817,0.0011145512728309608,5.618146563306284E-4,1.9235666325810756E-4
375.0,0.004446692241966208,0.0037379060763367868,,,,6.213830540146474E-4,0.0013985765182745753,0.001161770974506082,5.833647169415651E-4,2.003063040653057E-4
376.0,0.00445677731591811,0.0037606759772039087,,,,6.744916492646198E-4,0.0014654171828519815,0.0012027767281279143,5.998004632216891E-4,2.0467726200331087E-4
377.0,0.004457005410929974,0.0037666828525180166,,,,7.316703878320077E-4,0.0015446159941842766,0.0012540873109229123,6.220291895202802E-4,2.1278452591867708E-4
378.0,0.004453133179953331,0.0037703620129691043,,,,7.95638395660611E-4,0.0016309278143810935,0.001303529453294778,6.435177624266134E-4,2.2010803439981338E-4
379.0,0.004452364937669805,0.0037837013806197852,,,,8.626679227739653E-4,0.0017224699937587729,0.0013505012861898982,6.617744551709484E-4,2.2433258935844583E-4
380.0,0.004449561996598114,0.0037865457077575345,,,,9.355558200625936E-4,0.0018176688825297274,0.0014023612694457155,6.857489150625552E-4,2.3345635076344265E-4
381.0,0.004444685598084279,0.0037879793519749014,,,,0.0010111606770647906,0.0019111827748194766,0.0014500439783971873,7.080677400780614E-4,2.4178382024034832E-4
382.0,0.004441224209631125,0.0037921212367221842,,,,0.001085515724502762,0.0020012474038252834,0.0014918512842038362,7.266830581914708E-4,2.477114296928304E-4
383.0,0.004436905989716959,0.0037922338407077663,,,,0.001164793771962068,0.0020942381541492706,0.0015392198001419268,7.488311549439836E-4,2.5588115314270144E-4
384.0,0.004437185744883389,0.0038005732342096324,,,,0.0012485614007475177,0.0021891250186656065,0.0015832155193631725,7.683256316684413E-4,2.612114506108031E-4
385.0,0.004436931543409178,0.003802741988829811,,,,0.001337007465683702,0.0022811811717381994,0.0016282504896172275,7.909333109590016E-4,2.699209491121788E-4
386.0,0.004434324872462996,0.0038017063162961136,,,,0.0014246067422096656,0.0023678205700692644,0.0016702176097767594,8.122588952823768E-4,2.7786351657245527E-4
387.0,0.004433650823872126,0.0038051834920220084,,,,0.0015116936581887463,0.0024539147699564274,0.0017100537328165585,8.309974443887719E-4,2.8330639284336736E-4
388.0,0.004431994264191574,0.0038047862317830833,,,,0.001599548330644251,0.0025348104848597055,0.0017500604276389725,8.516455430990438E-4,2.910632545660208E-4
389.0,0.004429444389027795,0.003803106403270903,,,,0.0016845304761610221,0.002611047673863413,0.0017864853701300954,8.702933106879028E-4,2.975488378260286E-4
390.0,0.004429905876124178,0.0038068671039365697,,,,0.001769455122920137,0.0026848686894492104,0.001822693051796089,8.883449004977841E-4,3.034275046161471E-4
391.0,0.004429523569455401,0.0038066474165866573,,,,0.0018511302243264085,0.002752467219598904,0.0018570433034406056,9.062815627626473E-4,3.100600653014085E-4
392.0,0.004430019559654781,0.003808879431555107,,,,0.0019292065910167877,0.0028175378294204223,0.0018900693947868318,9.225085069922475E-4,3.151195185920763E-4
393.0,0.00442992761630146,0.0038087145797194607,,,,0.002003418779846398,0.002874167945354243,0.001920251316815442,9.385764304924232E-4,3.212660099514838E-4
394.0,0.00442874810554518,0.0038074897617237135,,,,0.002074374558403037,0.002929091122918279,0.0019500201144531167,9.534282371751345E-4,3.2633187682846706E-4
395.0,0.004428267082943447,0.0038074298126098056,,,,0.0021397862622186017,0.0029762407800062217,0.0019772511866911757,9.677690826255139E-4,3.3174634822647734E-4
396.0,0.004429447674612999,0.0038103769741198645,,,,0.00219955610137866,0.0030208273013145296,0.002002637209140136,9.801769969293578E-4,3.355035908828506E-4
397.0,0.004429868287253039,0.0038106984135268277,,,,0.0022540712325956475,0.003058200516614976,0.0020252687364620157,9.924473965830889E-4,3.4033055529355443E-4
398.0,0.00442987692511187,0.0038109493609945633,,,,0.0023046362049160673,0.003095378707077488,0.002048621627212338,0.0010042791158382017,3.4447340444104856E-4
399.0,0.004429715844551264,0.0038107768962347124,,,,0.0023503320902185697,0.0031260805644275176,0.0020675837505505137,0.0010145832215001686,3.486153054869521E-4
400.0,0.004430006804337094,0.003811798654684193,,,,0.002391538497049493,0.0031567266186271472,0.002087348644115446,0.001024423310405933,3.5173041993809913E-4
401.0,0.004430043680474123,0.0038117447307494928,,,,0.002427474402365619,0.0031813692806930294,0.00210330647624332,0.0010331435037289416,3.5532354068836447E-4
402.0,0.004430068875021575,0.003812038452343999,,,,0.0024597221960567972,0.0032062336297290365,0.002120390007857231,0.0010418371835872473,3.582343754984556E-4
403.0,0.004430011952939266,0.003811908224144852,,,,0.0024871275407282304,0.0032255954252876622,0.002133340026369936,0.0010490581381175609,3.612563776089089E-4
404.0,0.004430183151466177,0.003812437295640017,,,,0.0025115989500569683,0.0032455628421488945,0.002147758200991824,0.0010564366955940249,3.636240751916003E-4
405.0,0.004430215361345156,0.0038123637878209986,,,,0.0025320036610623486,0.0032605324833263785,0.0021583150514309256,0.0010623384316471654,3.662308803845045E-4
406.0,0.004430166483370803,0.003812378759578101,,,,0.0025501160345630844,0.0032763663437971133,0.002170475553240025,0.0010686793796537864,3.6827735148159987E-4
407.0,0.004430127398680167,0.0038122460979841443,,,,0.0025649297264797007,0.003287709413606961,0.0021786113584023234,0.0010733596721984,3.704153847846255E-4
408.0,0.004430365189832402,0.0038128359980663168,,,,0.0025779483770570063,0.003300022557726035,0.0021882787946398948,0.001078466321083406,3.7195196319979675E-4
409.0,0.0044304521153502785,0.0038128263984761653,,,,0.0025883374619937423,0.0033087165373664107,0.0021950607681327913,0.0010824881268471477,3.7384057827356126E-4
410.0,0.0044304282438499395,0.0038128543884314624,,,,0.00259751150027488,0.0033185427663564877,0.0022034703661367385,0.0010868951835281892,3.752720230731138E-4
411.0,0.004430407571550823,0.0038128134645301417,,,,0.0026048078962760636,0.0033250922243379657,0.0022084243190499805,0.0010900307272982564,3.7674548568432137E-4
412.0,0.0044304710464877425,0.003813064191909051,,,,0.002611288741900077,0.00333276708106382,0.002215157011078146,0.0010935921789714546,3.778253119108285E-4
413.0,0.004430509211315561,0.0038130807448927455,,,,0.0026161583938342217,0.0033376260922997124,0.0022190527841952834,0.0010961560049584447,3.790660180739082E-4
414.0,0.004430507332598928,0.0038131489218311693,,,,0.0026205172153222654,0.0033435591381996872,0.002224720797398478,0.0010991329782177497,3.800151156838495E-4
415.0,0.004430503593330687,0.003813055716542884,,,,0.0026236807474823336,0.0033471278666794882,0.002227932790662178,0.001101277051046291,3.810542156124961E-4
416.0,0.004430536798829595,0.0038132388209915734,,,,0.00262665718947651,0.0033516282992701973,0.0022318263804957925,0.0011034639381123533,3.8169352089537415E-4
417.0,0.004430497869026193,0.003813112343214206,,,,0.0026289892724118357,0.003354791713273916,0.0022347916605837386,0.0011053405703871208,3.825762545695248E-4
418.0,0.004430551995102533,0.00381329959958142,,,,0.002630895476520012,0.003357934849793621,0.0022377498071066006,0.0011070781545303937,3.831584781099036E-4
419.0,0.004430535546398548,0.0038131910464594245,,,,0.002632214129432834,0.0033600742459303857,0.002239950173225461,0.0011085371044260869,3.838985885047702E-4
420.0,0.004430541960671674,0.0038132654329091887,,,,0.00263351137771564,0.003362550259917614,0.002242440743407198,0.001109966915340125,3.8434313755226265E-4
421.0,0.004430548150612663,0.003813234153596738,,,,0.0026342969292489017,0.00336404177600437,0.0022439962234675334,0.0011110520315200864,3.848984090278131E-4
422.0,0.004430611055234426,0.0038134303536217305,,,,0.002635220112368344,0.003366072236892113,0.0022459777264250613,0.0011121671528278058,3.851996895726779E-4
423.0,0.004430609284343316,0.003813404705917553,,,,0.0026360321104548484,0.003367667996301284,0.002247751376934194,0.001113260139428585,3.8566451730661164E-4
424.0,0.0044306492995949,0.0038134404028954353,,,,0.002636320054559397,0.0033684556949775146,0.0022486057493167903,0.0011139702687714506,3.860763719579158E-4
425.0,0.004430630256488277,0.003813411061854642,,,,0.0026367729527254774,0.003369691757640718,0.002250041931486569,0.0011147608622597543,3.8632654956288434E-4
426.0,0.004430619381273798,0.003813380780789171,,,,0.0026369794669453316,0.0033703516814455187,0.0022507436529084664,0.0011153180612104231,3.866077382082044E-4
427.0,0.004430675202101606,0.0038135599300715443,,,,0.002637500174101667,0.003371665147115268,0.002252050089909998,0.0011159947890627964,3.867349991924494E-4
428.0,0.004430670708466986,0.003813519885025052,,,,0.002637884194594937,0.0033724772942555978,0.002253003272799451,0.0011166085162263957,3.870533888115609E-4
429.0,0.004430686058118891,0.0038135081870251976,,,,0.0026378596858106767,0.003372670354953297,0.002253326478667319,0.001117011555618584,3.873261842409474E-4
430.0,0.004430688364685771,0.003813542700550568,,,,0.0026382106641758656,0.00337363700230894,0.002254327384293201,0.001117514788453332,3.874015130631609E-4
431.0,0.0044307331988453266,0.003813624806861856,,,,0.0026383609306347283,0.003374044217878222,0.0022548251749996925,0.0011178625536244244,3.875893150060557E-4
432.0,0.004430693089413327,0.003813499515961485,,,,0.002638366208910197,0.0033742561545174444,0.0022551627371259694,0.0011181786300887215,3.877856895192451E-4
433.0,0.004430707652110201,0.0038135903365505708,,,,0.0026386823436189673,0.003375033443851886,0.0022559395632342828,0.0011185354209235403,3.878052397789792E-4
434.0,0.004430769813871951,0.0038136757956323568,,,,0.0026386672910933347,0.0033750455099413237,0.002256026607314428,0.0011187168826896012,3.87970478849828E-4
435.0,0.004430752511127938,0.003813632697575047,,,,0.002638912561088662,0.0033756770659519363,0.0022567763273497196,0.0011190909278218832,3.880632467298602E-4
436.0,0.004430794165315266,0.003813706777252581,,,,0.0026388861596222763,0.00337566096278398,0.0022567557739055794,0.0011192022517116957,3.8818487456953395E-4
437.0,0.004430787752841595,0.003813696519344341,,,,0.002639114038225183,0.0033762465484854457,0.002257387635410597,0.0011195056791434483,3.8823238850957116E-4
438.0,0.004430819749030752,0.003813738943376693,,,,0.002639080619436061,0.0033761871135430848,0.0022573522874921636,0.0011196028325334416,3.883551209729507E-4
439.0,0.0044307951279175485,0.0038136944632125814,,,,0.0026392961453740233,0.0033767067018819546,0.0022579212789662984,0.0011198601630759242,3.8838584022304337E-4
440.0,0.004430850494128565,0.0038138047373599284,,,,0.002639292784855455,0.0033766907325151526,0.0022578380608197263,0.0011198943600267393,3.88448155834608E-4
441.0,0.0044308217111111835,0.0038137248264291544,,,,0.0026394192031857664,0.0033770167094084825,0.0022583300033310444,0.0011201257054752724,3.885119383968466E-4
442.0,0.004430835176168757,0.003813748251552206,,,,0.0026393808854011163,0.0033769390131415103,0.0022582193594744083,0.0011201423635235418,3.885682474046669E-4
443.0,0.004430817167884724,0.0038137215414715308,,,,0.0026395447847751266,0.0033773254208604876,0.002258611275435303,0.0011203150272269342,3.8856915705424945E-4
444.0,0.004430861417165404,0.0038137991090121466,,,,0.0026395243596337497,0.0033772509297323766,0.0022585160421082517,0.0011203265498745305,3.886258320334522E-4
445.0,0.004430824703899304,0.0038137055969390578,,,,0.0026396131019342283,0.0033774798711372197,0.0022588561069848685,0.00112049656384908,3.8867053686309633E-4
446.0,0.004430836908292666,0.0038137346390448635,,,,0.002639577117198948,0.00337740133174941,0.0022587379055361728,0.0011204779795313505,3.8869998475359643E-4
447.0,0.004430796154088574,0.003813660128621459,,,,0.002639704977732027,0.0033776795648598175,0.002259041448434416,0.00112060543692274,3.887004604700699E-4
448.0,0.0044308544178003765,0.0038137905851136716,,,,0.002639698112149611,0.003377625922898872,0.0022589006812833677,0.0011205643793119092,3.8870597000586257E-4
449.0,0.004430805870679323,0.003813656793755835,,,,0.0026397051986836477,0.003377683757805028,0.0022590771408080574,0.0011206831175291105,3.8877754102774656E-4
450.0,0.0044308033862376,0.0038136835063042294,,,,0.0026397900917234257,0.0033778464256201636,0.0022591969481334773,0.0011207175925320534,3.8875053846876273E-4
451.0,0.0044308544795847666,0.0038137842590562285,,,,0.0026397905135683445,0.0033778252330210626,0.002259128933735452,0.0011207022620297385,3.8876014802055863E-4
452.0,0.004430817248667392,0.003813681566106358,,,,0.0026397825192064706,0.0033778284829428214,0.0022592142727175676,0.0011207788243273367,3.888186886378236E-4
453.0,0.004430804991036029,0.0038136789679258697,,,,0.002639845619192511,0.003377954046556328,0.002259325728724718,0.0011208212390252455,3.8880809110233963E-4
454.0,0.0044308504864465775,0.0038137782076183395,,,,0.002639852623021281,0.0033779538033677026,0.0022592818583209696,0.0011208021292849828,3.888036140212764E-4
455.0,0.004430827777297513,0.003813714566979428,,,,0.0026398613995337913,0.003377975881235201,0.002259362806362234,0.0011208651993575328,3.888450216352978E-4
456.0,0.00443081808483825,0.0038137046933271407,,,,0.002639889140061912,0.003378033554554484,0.002259413607263034,0.0011208888515935544,3.8884683593113164E-4
457.0,0.004430837647063762,0.0038137526258225285,,,,0.002639904164948296,0.0033780574893964794,0.002259413994005071,0.0011208849992591476,3.8883704618543596E-4
458.0,0.004430824211881836,0.0038137109783979405,,,,0.0026399053091837564,0.0033780530453314463,0.002259442368613796,0.0011209208812645016,3.888668135256778E-4
459.0,0.004430812755322322,0.0038136917768562114,,,,0.0026399068312850387,0.0033780631668229666,0.002259452331409481,0.001120925089884985,3.8886515949307485E-4
