"Iteration","Uz_up1: Uz_up1 (m/s)","Uz_up2: Uz_up2 (m/s)","Uz_up3: Uz_up3 (m/s)","Uz_up4: Uz_up4 (m/s)","Uz_up5: Uz_up5 (m/s)","Uz_down1: Uz_down1 (m/s)","Uz_down2: Uz_down2 (m/s)","Uz_down3: Uz_down3 (m/s)","Uz_down4: Uz_down4 (m/s)","Uz_down5: Uz_down5 (m/s)"
36.0,2.0227452735787778E-4,8.402180234137513E-5,,,,2.8257994462303006E-4,2.0027033060162215E-4,7.814893378227643E-5,3.3212629011860576E-5,1.133676903489481E-5
37.0,2.0075811296965134E-4,8.352266794202059E-5,,,,2.7896341162994684E-4,1.946454769726235E-4,7.572376128934743E-5,3.2102114616438646E-5,1.092573708341043E-5
38.0,1.992094768730908E-4,8.30162362589798E-5,,,,2.7551232916981435E-4,1.8986222819766878E-4,7.383622586885077E-5,3.119424771377454E-5,1.0573623869080408E-5
39.0,1.976751053602332E-4,8.2531852199504E-5,,,,2.722328607084624E-4,1.8575969648015043E-4,7.21737070543463E-5,3.0385942186623203E-5,1.0270273904863268E-5
40.0,1.9617411594916576E-4,8.203746517893997E-5,,,,2.689193536180575E-4,1.8195038123047135E-4,7.044534630139177E-5,2.9534434786273918E-5,9.960284177066638E-6
41.0,1.946407245280236E-4,8.153307670538126E-5,,,,2.6580432607578304E-4,1.788775001287039E-4,6.924700103331143E-5,2.8901884265197184E-5,9.712258761569647E-6
42.0,1.9311516598076193E-4,8.104076046050472E-5,,,,2.628828182619855E-4,1.7628078598854927E-4,6.81893237642073E-5,2.8340957451387104E-5,9.501318370942171E-6
43.0,1.9161360712937985E-4,8.053710047853911E-5,,,,2.6005440182271737E-4,1.7387521257537005E-4,6.706628366701282E-5,2.776527374249812E-5,9.286796775079897E-6
44.0,1.9009588159171195E-4,8.002880721524845E-5,,,,2.573871405409869E-4,1.7193020378472687E-4,6.632688647509953E-5,2.7348915543521617E-5,9.122030192864744E-6
45.0,1.8859969382358486E-4,7.952438278034298E-5,,,,2.548918746965252E-4,1.7017140431982992E-4,6.552633718780832E-5,2.692921058047645E-5,8.964629662982303E-6
46.0,1.8709372483285115E-4,7.901909344684454E-5,,,,2.5255247245872E-4,1.6870527379508803E-4,6.496645013648316E-5,2.6616483916908997E-5,8.844940374013024E-6
47.0,1.8561237648541016E-4,7.851375057636934E-5,,,,2.503632353811569E-4,1.6735485643967665E-4,6.434652561985253E-5,2.6295471564621117E-5,8.724259644243158E-6
48.0,1.8411328504927907E-4,7.800689983805719E-5,,,,2.482938044066036E-4,1.6620929225831185E-4,6.39305795218232E-5,2.605765963621905E-5,8.635976974422661E-6
49.0,1.8264686382518696E-4,7.749795338995723E-5,,,,2.463585676298927E-4,1.6514886823185447E-4,6.345052442959283E-5,2.5810109332822294E-5,8.542917723600856E-6
50.0,1.811548658313811E-4,7.699280421108218E-5,,,,2.445092357824053E-4,1.6421091018885986E-4,6.312729083719147E-5,2.5626557618255073E-5,8.475456454770051E-6
51.0,1.7970285035097205E-4,7.648332806471341E-5,,,,2.4277250352168784E-4,1.6333574952288649E-4,6.274689901522927E-5,2.542892217647236E-5,8.400059181945397E-6
52.0,1.782274154820189E-4,7.597678338889315E-5,,,,2.4111419485066274E-4,1.625410569837217E-4,6.248353478573346E-5,2.5288380075847008E-5,8.348745560909622E-6
53.0,1.7679112018794237E-4,7.546788497804861E-5,,,,2.3954326916257325E-4,1.6177750561516117E-4,6.21591173047968E-5,2.5126263736470152E-5,8.288581617169835E-6
54.0,1.7533268533495715E-4,7.496055025169526E-5,,,,2.3802938000328037E-4,1.6105464685868429E-4,6.192814448133433E-5,2.5011711411982297E-5,8.244941709742786E-6
55.0,1.738752757666499E-4,7.442285212376975E-5,,,,2.3655604163087514E-4,1.6035857977248855E-4,6.166043872807477E-5,2.4880722923035202E-5,8.196394627608756E-6
56.0,1.7240955271194045E-4,7.390957711790974E-5,,,,2.3512154718439537E-4,1.596870028511631E-4,6.145628496813165E-5,2.4790058893375414E-5,8.162656392367388E-6
57.0,1.7096536065681114E-4,7.337665837031704E-5,,,,2.3371473430661057E-4,1.5902555526216557E-4,6.121164603686831E-5,2.4677112108110326E-5,8.122986447865354E-6
58.0,1.6946938427837063E-4,7.284773015937998E-5,,,,2.3229577112780003E-4,1.5837261261756396E-4,6.1022502248814694E-5,2.4599522575690402E-5,8.09460063743758E-6
