"Iteration","Uy_up1: Uy_up1 (m/s)","Uy_up2: Uy_up2 (m/s)","Uy_up3: Uy_up3 (m/s)","Uy_up4: Uy_up4 (m/s)","Uy_up5: Uy_up5 (m/s)","Uy_down1: Uy_down1 (m/s)","Uy_down2: Uy_down2 (m/s)","Uy_down3: Uy_down3 (m/s)","Uy_down4: Uy_down4 (m/s)","Uy_down5: Uy_down5 (m/s)"
35.0,1.070688993922445E-14,2.034530918671343E-15,,,,7.975356354060768E-15,-8.069654051292518E-15,2.015932374521958E-15,-8.742918363488842E-16,7.765849761098675E-16
36.0,1.070687876892181E-14,2.034529327545274E-15,,,,7.97531257916847E-15,-8.069651154687415E-15,2.01592753633384E-15,-8.74292228293473E-16,7.765856713452233E-16
37.0,1.0706867948488304E-14,2.034527938949687E-15,,,,7.975272434209373E-15,-8.069649957179337E-15,2.0159228459267653E-15,-8.7429267768806825E-16,7.7658635088123625E-16
38.0,1.070685649678024E-14,2.034526492341501E-15,,,,7.975236838588813E-15,-8.069652981762489E-15,2.0159198564418096E-15,-8.742930651281985E-16,7.765870488378792E-16
39.0,1.0706845154747186E-14,2.034525108818521E-15,,,,7.975205516107492E-15,-8.069658534151466E-15,2.015917184569234E-15,-8.742935103314398E-16,7.765876390551155E-16
40.0,1.0706834316295315E-14,2.034523722355388E-15,,,,7.975176988347783E-15,-8.069665509829908E-15,2.0159143222532053E-15,-8.742940389431052E-16,7.765882821530702E-16
41.0,1.0706822443810014E-14,2.034522175345403E-15,,,,7.975151321507684E-15,-8.06967257236659E-15,2.0159129808426785E-15,-8.742944239436023E-16,7.765888866515371E-16
42.0,1.0706811019285979E-14,2.0345205233746212E-15,,,,7.975129179320361E-15,-8.069680473795591E-15,2.015911725053631E-15,-8.742949211452205E-16,7.765893949424927E-16
43.0,1.0706799438623622E-14,2.0345191230149743E-15,,,,7.975109896247778E-15,-8.069688609182346E-15,2.0159103539577806E-15,-8.742954193961742E-16,7.765899209539804E-16
44.0,1.070678769477965E-14,2.0345172600953775E-15,,,,7.975092760017167E-15,-8.069696173733603E-15,2.0159098382039224E-15,-8.742958258167836E-16,7.765904317593579E-16
