"Iteration","Torque (Turbine-01) Monitor: Torque (Turbine-01) Monitor (N-m)"
3756.0,451394.31615169346
3757.0,451394.31886434875
3758.0,451394.32152921055
3759.0,451394.32466126827
3760.0,451394.3275609
3761.0,451394.3298715632
3762.0,451394.33103859995
3763.0,451394.331867659
3764.0,451394.33031503274
3765.0,451394.3305128086
3766.0,451394.33618956053
3767.0,451394.338986407
3768.0,451394.3413765652
3769.0,451394.342936834
3770.0,451394.34134807147
3771.0,451394.3415805208
3772.0,451394.3420582673
3773.0,451394.3419940812
3774.0,451394.34023148514
3775.0,451394.3395173255
3776.0,451394.34012290393
3777.0,451394.34095553495
3778.0,451394.3435090692
3779.0,451394.34580993763
3780.0,451394.34573903074
3781.0,451394.3460076591
3782.0,451394.34426411777
3783.0,451394.3435829775
3784.0,451394.34315170435
3785.0,451394.342974762
3786.0,451394.34429977817
3787.0,451394.3449163904
3788.0,451394.34598168684
3789.0,451394.3464123007
3790.0,451394.3464352444
3791.0,451394.346151352
3792.0,451394.34589332994
3793.0,451394.3458387688
3794.0,451394.3459634609
3795.0,451394.3460538234
3796.0,451394.3469069645
3797.0,451394.34753081715
3798.0,451394.3483168623
3799.0,451394.34915825335
3800.0,451394.3504325655
3801.0,451394.35103482945
3802.0,451394.35132375296
3803.0,451394.3505984443
3804.0,451394.3502503116
3805.0,451394.34967443976
3806.0,451394.34878170653
3807.0,451394.348492715
3808.0,451394.34857688146
3809.0,451394.34865668084
3810.0,451394.34913973266
3811.0,451394.3494442764
3812.0,451394.3500486031
3813.0,451394.3503957434
3814.0,451394.3507180942
3815.0,451394.35099150345
3816.0,451394.35130658693
3817.0,451394.35145348014
3818.0,451394.3515358141
3819.0,451394.3515532513
3820.0,451394.35142525786
3821.0,451394.3513420535
3822.0,451394.3511401771
3823.0,451394.35104697273
3824.0,451394.3509793939
3825.0,451394.3509845229
3826.0,451394.35103456426
3827.0,451394.35123777465
3828.0,451394.3513826814
3829.0,451394.3515622937
3830.0,451394.3518327008
3831.0,451394.35197554086
3832.0,451394.35210225504
3833.0,451394.35219616845
3834.0,451394.3522498419
3835.0,451394.35226282635
3836.0,451394.3522487075
3837.0,451394.3522163215
3838.0,451394.35217291757
3839.0,451394.35208795604
3840.0,451394.3520463774
3841.0,451394.3520082651
3842.0,451394.3519808206
3843.0,451394.35196581786
3844.0,451394.351962389
3845.0,451394.35197020933
3846.0,451394.3519872948
3847.0,451394.35201134963
3848.0,451394.3520402156
3849.0,451394.3520718926
3850.0,451394.3521044049
3851.0,451394.35213610384
3852.0,451394.35216583044
3853.0,451394.35219296865
3854.0,451394.3522171598
3855.0,451394.35223834973
3856.0,451394.3522567042
3857.0,451394.3522725158
3858.0,451394.3522861355
3859.0,451394.352297953
3860.0,451394.3523082715
3861.0,451394.3523172912
3862.0,451394.3523250982
3863.0,451394.3523316646
3864.0,451394.3523368732
3865.0,451394.3523406152
3866.0,451394.35234270804
3867.0,451394.35234296933
3868.0,451394.3523413051
3869.0,451394.3523376942
3870.0,451394.3523322551
3871.0,451394.3523252923
3872.0,451394.3523170435
3873.0,451394.3523080512
3874.0,451394.35229882755
3875.0,451394.35228985694
3876.0,451394.3522815427
3877.0,451394.352274339
3878.0,451394.3522685201
3879.0,451394.352264236
