"Iteration","Thrust (Turbine-01) Monitor: Thrust (Turbine-01) Monitor (N)"
3870.0,385072.65872868994
3871.0,385072.65860726085
3872.0,385072.6584634015
3873.0,385072.6583065733
3874.0,385072.658145717
3875.0,385072.6579892621
3876.0,385072.6578442682
3877.0,385072.65771863377
3878.0,385072.65761715575
3879.0,385072.6575424383
3880.0,385072.6574973789
3881.0,385072.65748192
3882.0,385072.6574966252
3883.0,385072.65753877553
3884.0,385072.65760313015
3885.0,385072.6576846056
3886.0,385072.6577774728
3887.0,385072.65787447465
3888.0,385072.65796966356
3889.0,385072.6580578777
3890.0,385072.65813461214
3891.0,385072.6581971602
3892.0,385072.65824469563
3893.0,385072.6582533722
3894.0,385072.65824087674
3895.0,385072.6582098868
3896.0,385072.65816462203
3897.0,385072.6581097785
3898.0,385072.658049637
3899.0,385072.65798894735
3900.0,385072.657931574
3901.0,385072.65787994256
3902.0,385072.6578361288
3903.0,385072.6578014806
3904.0,385072.6577763228
3905.0,385072.65776090487
3906.0,385072.6577547833
3907.0,385072.6577578969
3908.0,385072.6577690806
3909.0,385072.65778671834
3910.0,385072.65780908486
3911.0,385072.65785874164
3912.0,385072.65788250766
3913.0,385072.657906493
3914.0,385072.6579233353
3915.0,385072.65792564023
3916.0,385072.657919608
3917.0,385072.6579079143
3918.0,385072.65789270215
3919.0,385072.65787620965
3920.0,385072.657860456
